country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48163,,3930211,92108213,89149512,125706614,2,000016,000016,000016,20100202,NOX,1.0662,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092864,28.930828,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_12A,2015,20180117,,,,,78061,2214,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108213,89149512,125706614,2,000016,000016,000016,20100202,50000,0.1679,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092864,28.930828,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_12A,2015,20180117,,,,,78061,2214,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108213,89149512,125706614,2,000016,000016,000016,20100202,VOC,2.3507,49,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092864,28.930828,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_12A,2015,20180117,,,,,78061,2214,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108213,89149512,125706614,2,000016,000016,000016,20100202,PM10-PRI,2.1828,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092864,28.930828,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_12A,2015,20180117,,,,,78061,2214,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108213,89149512,125706614,2,000016,000016,000016,20100202,CO,2.1828,91.14,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092864,28.930828,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_12A,2015,20180117,,,,,78061,2214,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,SO2,0.0387,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,8,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,PM25-PRI,2.2076,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,NH3,0.0883,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,NOX,1.0783,88.2,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
US,48163,,3930211,92108113,89149412,125706514,2,000015,000015,000015,20100202,50000,0.1698,,PEARSALL POWER PLANT,2,80,4,698,,77.8,22111,-99.092894,28.930858,,,72,E6BTU/HR,,125,160,65,,,,,TXCEQ,7,2015TXCEQ,UNK,,,3630_G_11A,2015,20180117,,,,,78061,2241,,,,,,,,,,,,,,,,,,,,,,,,,
